#scalar perturbations for mode k = 1.000000000000e-01 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_cdm             17:theta_cdm             18:delta_ddec[0]         19:theta_ddec[0]         20:shear_ddec[0]         21:cs2_ddec[0]        
       7.433035951134e-03       1.709321528398e-08      -1.182132847507e+00       2.196680750309e-05       5.088236024858e-15       1.272059006214e-14       1.657411307469e-25       2.544118012429e-15      -8.865996356302e-01       2.196680750309e-05       5.910647746184e-01       7.044668153367e-01      -1.182132847507e+00       2.196680696367e-05       2.177074488801e-08      -8.865996356302e-01       2.196680864384e-05      -1.182132847507e+00       2.196680696367e-05       2.176932378453e-08       3.333333333333e-01 
       7.519918169207e-03       1.729301459487e-08      -1.182133127625e+00       2.222357187004e-05       5.268755614098e-15       1.317188903525e-14       1.756568113196e-25       2.634377807049e-15      -8.865998457185e-01       2.222357187004e-05       5.910650927705e-01       7.044667459472e-01      -1.182133127625e+00       2.222357131148e-05       2.228265928598e-08      -8.865998457185e-01       2.222357305126e-05      -1.182133127625e+00       2.222357131148e-05       2.228093193529e-08       3.333333333333e-01 
       7.606800387280e-03       1.749281396483e-08      -1.182133430941e+00       2.248033674465e-05       5.453495281775e-15       1.363373820444e-14       1.860414949663e-25       2.726747640887e-15      -8.866000732056e-01       2.248033674465e-05       5.910653978999e-01       7.044666707655e-01      -1.182133430941e+00       2.248033616650e-05       2.280052256370e-08      -8.866000732056e-01       2.248033796728e-05      -1.182133430941e+00       2.248033616651e-05       2.279848198503e-08       3.333333333333e-01 
       7.889606207962e-03       1.814317098370e-08      -1.182134320798e+00       2.331611721936e-05       6.084646937052e-15       1.521161734263e-14       2.232941237144e-25       3.042323468526e-15      -8.866007405984e-01       2.331611721936e-05       5.910663639234e-01       7.044664504598e-01      -1.182134320798e+00       2.331611657431e-05       2.452738971747e-08      -8.866007405984e-01       2.331611858349e-05      -1.182134320798e+00       2.331611657432e-05       2.452427870586e-08       3.333333333333e-01 
       8.172412028643e-03       1.879352862848e-08      -1.182135291490e+00       2.415189976719e-05       6.762709244155e-15       1.690677311039e-14       2.662887993615e-25       3.381354622077e-15      -8.866014686179e-01       2.415189976719e-05       5.910672421400e-01       7.044662100240e-01      -1.182135291490e+00       2.415189905025e-05       2.631728704842e-08      -8.866014686179e-01       2.415190128334e-05      -1.182135291490e+00       2.415189905028e-05       2.631302615999e-08       3.333333333333e-01 
       8.455217849325e-03       1.944388689918e-08      -1.182136403985e+00       2.498768584180e-05       7.489364365628e-15       1.872341091407e-14       3.156651636708e-25       3.744682182814e-15      -8.866023029891e-01       2.498768584180e-05       5.910680257120e-01       7.044659342164e-01      -1.182136403985e+00       2.498768504783e-05       2.817021467558e-08      -8.866023029891e-01       2.498768752085e-05      -1.182136403985e+00       2.498768504787e-05       2.816472158824e-08       3.333333333333e-01 
       8.738023670007e-03       2.009424579580e-08      -1.182137593868e+00       2.582347434076e-05       8.266293779017e-15       2.066573444754e-14       3.721086626207e-25       4.133146889508e-15      -8.866031954012e-01       2.582347434076e-05       5.910687365232e-01       7.044656391407e-01      -1.182137593868e+00       2.582347346442e-05       3.008617313085e-08      -8.866031954012e-01       2.582347619399e-05      -1.182137593868e+00       2.582347346448e-05       3.007936272062e-08       3.333333333333e-01 
       9.020829490688e-03       2.074460531834e-08      -1.182138769628e+00       2.665926332566e-05       9.095178604352e-15       2.273794651088e-14       4.363521385765e-25       4.547589302176e-15      -8.866040772208e-01       2.665926332566e-05       5.910694021928e-01       7.044653476745e-01      -1.182138769628e+00       2.665926236145e-05       3.206516276908e-08      -8.866040772208e-01       2.665926536471e-05      -1.182138769628e+00       2.665926236152e-05       3.205694675692e-08       3.333333333333e-01 
       9.303635311370e-03       2.139496546680e-08      -1.182139954376e+00       2.749505335708e-05       9.977700716167e-15       2.494425179042e-14       5.091774675412e-25       4.988850358083e-15      -8.866049657824e-01       2.749505335708e-05       5.910700243495e-01       7.044650540399e-01      -1.182139954376e+00       2.749505229931e-05       3.410718355079e-08      -8.866049657824e-01       2.749505559397e-05      -1.182139954376e+00       2.749505229941e-05       3.409747126350e-08       3.333333333333e-01 
       1.003154671719e-02       2.306892459172e-08      -1.182142911681e+00       2.964628736887e-05       1.250770756928e-14       3.126926892321e-14       7.420752408643e-25       6.253853784641e-15      -8.866071837611e-01       2.964628736887e-05       5.910714877225e-01       7.044643216459e-01      -1.182142911681e+00       2.964628604289e-05       3.965302895641e-08      -8.866071837611e-01       2.964629017295e-05      -1.182142911681e+00       2.964628604308e-05       3.963902701976e-08       3.333333333333e-01 
       1.075945812301e-02       2.474288786330e-08      -1.182145864579e+00       3.179752634536e-05       1.543287345503e-14       3.858218363759e-14       1.053326699946e-24       7.716436727517e-15      -8.866093984340e-01       3.179752634536e-05       5.910727790477e-01       7.044635908759e-01      -1.182145864579e+00       3.179752470927e-05       4.561644835087e-08      -8.866093984340e-01       3.179752980520e-05      -1.182145864579e+00       3.179752470958e-05       4.559748713253e-08       3.333333333333e-01 
       1.148736952883e-02       2.641685528153e-08      -1.182148807967e+00       3.394877007204e-05       1.878187491786e-14       4.695468729465e-14       1.461223681389e-24       9.390937458929e-15      -8.866116059751e-01       3.394877007204e-05       5.910739422958e-01       7.044628630051e-01      -1.182148807967e+00       3.394876808092e-05       5.199744226664e-08      -8.866116059751e-01       3.394877428267e-05      -1.182148807967e+00       3.394876808138e-05       5.197280339532e-08       3.333333333333e-01 
       1.221528093465e-02       2.809082684643e-08      -1.182151711444e+00       3.610001758387e-05       2.258338838164e-14       5.645847095411e-14       1.986706318267e-24       1.129169419082e-14      -8.866137835830e-01       3.610001758387e-05       5.910750107761e-01       7.044621456340e-01      -1.182151711444e+00       3.610001518974e-05       5.879601410677e-08      -8.866137835831e-01       3.610002264671e-05      -1.182151711444e+00       3.610001519040e-05       5.876493109640e-08       3.333333333333e-01 
       1.294319234047e-02       2.976480255799e-08      -1.182154517030e+00       3.825126670009e-05       2.686608952539e-14       6.716522381347e-14       2.653542169508e-24       1.343304476269e-14      -8.866158877724e-01       3.825126670009e-05       5.910760193430e-01       7.044614532578e-01      -1.182154517030e+00       3.825126385195e-05       6.601216590020e-08      -8.866158877724e-01       3.825127272302e-05      -1.182154517030e+00       3.825126385286e-05       6.597382304027e-08       3.333333333333e-01 
       1.367110374628e-02       3.143878241621e-08      -1.182157263085e+00       4.040251824133e-05       3.165865605100e-14       7.914664012750e-14       3.488505681816e-24       1.582932802550e-14      -8.866179473136e-01       4.040251824133e-05       5.910769795077e-01       7.044607762862e-01      -1.182157263085e+00       4.040251488512e-05       7.364589716138e-08      -8.866179473136e-01       4.040252533863e-05      -1.182157263085e+00       4.040251488634e-05       7.359943102255e-08       3.333333333333e-01 
       1.541480479160e-02       3.544879336102e-08      -1.182163522476e+00       4.555581423530e-05       4.538363538756e-14       1.134590884689e-13       6.357958944222e-24       2.269181769378e-14      -8.866226418569e-01       4.555581423530e-05       5.910791692988e-01       7.044592364194e-01      -1.182163522476e+00       4.555580942407e-05       9.363065415013e-08      -8.866226418570e-01       4.555582440936e-05      -1.182163522476e+00       4.555580942630e-05       9.356092584400e-08       3.333333333333e-01 
       1.715850583691e-02       3.945882810083e-08      -1.182169552313e+00       5.070912129573e-05       6.259317134031e-14       1.564829283508e-13       1.086502789852e-23       3.129658567016e-14      -8.866271642350e-01       5.070912129573e-05       5.910812691021e-01       7.044577569362e-01      -1.182169552313e+00       5.070911466009e-05       1.160116100798e-07      -8.866271642350e-01       5.070913532765e-05      -1.182169552313e+00       5.070911466378e-05       1.159127177822e-07       3.333333333333e-01 
       1.890220688222e-02       4.346888663561e-08      -1.182175430601e+00       5.586243966960e-05       8.368148690043e-14       2.092037172511e-13       1.762795551998e-23       4.184074345022e-14      -8.866315729504e-01       5.586243966960e-05       5.910833151729e-01       7.044563183358e-01      -1.182175430600e+00       5.586243079835e-05       1.407887655525e-07      -8.866315729505e-01       5.586245842879e-05      -1.182175430601e+00       5.586243080407e-05       1.406541394056e-07       3.333333333333e-01 
       2.064590792753e-02       4.747896896539e-08      -1.182181198843e+00       6.101576921111e-05       1.090428155135e-13       2.726070387838e-13       2.740407449512e-23       5.452140775676e-14      -8.866358991326e-01       6.101576921111e-05       5.910853086724e-01       7.044549102419e-01      -1.182181198843e+00       6.101575765126e-05       1.679621537226e-07      -8.866358991327e-01       6.101579365535e-05      -1.182181198843e+00       6.101575765969e-05       1.677845579883e-07       3.333333333333e-01 
       2.238960897284e-02       5.148907509014e-08      -1.182186872323e+00       6.616910901758e-05       1.390713997594e-13       3.476784993985e-13       4.110394738789e-23       6.953569987971e-14      -8.866401542419e-01       6.616910901758e-05       5.910872631341e-01       7.044535288342e-01      -1.182186872322e+00       6.616909427435e-05       1.975317975417e-07      -8.866401542421e-01       6.616914019298e-05      -1.182186872323e+00       6.616909428631e-05       1.973033307927e-07       3.333333333333e-01 
       2.413331001815e-02       5.549920500989e-08      -1.182192444335e+00       7.132245699077e-05       1.741614889568e-13       4.354037223921e-13       5.980550712329e-23       8.708074447842e-14      -8.866443332514e-01       7.132245699077e-05       5.910892077896e-01       7.044521757884e-01      -1.182192444335e+00       7.132243852758e-05       2.294976881230e-07      -8.866443332516e-01       7.132249603180e-05      -1.182192444335e+00       7.132243854403e-05       2.292097806219e-07       3.333333333333e-01 
       2.587701106346e-02       5.950935872462e-08      -1.182197966768e+00       7.647581489226e-05       2.147073509406e-13       5.367683773516e-13       8.476820332218e-23       1.073536754703e-13      -8.866484750762e-01       7.647581489226e-05       5.910911513130e-01       7.044508381328e-01      -1.182197966768e+00       7.647579213075e-05       2.638598080925e-07      -8.866484750765e-01       7.647586302171e-05      -1.182197966768e+00       7.647579215280e-05       2.635032258202e-07       3.333333333333e-01 
       2.973710508994e-02       6.838686558473e-08      -1.182210070082e+00       8.788402379464e-05       3.258423143716e-13       8.146057859289e-13       1.698902297383e-22       1.629211571858e-13      -8.866575525612e-01       8.788402379464e-05       5.910954673685e-01       7.044479180451e-01      -1.182210070081e+00       8.788398925156e-05       3.484522812226e-07      -8.866575525618e-01       8.788409683457e-05      -1.182210070081e+00       8.788398929084e-05       3.479074951864e-07       3.333333333333e-01 
       3.359719911642e-02       7.726448905522e-08      -1.182222136156e+00       9.929228383529e-05       4.699237731202e-13       1.174809432800e-12       3.127539577904e-22       2.349618865601e-13      -8.866666021167e-01       9.929228383529e-05       5.910997743096e-01       7.044450219462e-01      -1.182222136155e+00       9.929223401796e-05       4.447878222939e-07      -8.866666021175e-01       9.929238916943e-05      -1.182222136155e+00       9.929223408279e-05       4.439990956251e-07       3.333333333333e-01 
       3.745729314290e-02       8.614222913607e-08      -1.182234200881e+00       1.107005933588e-04       6.512295430515e-13       1.628073857629e-12       5.387432354205e-22       3.256147715257e-13      -8.866756506609e-01       1.107005933588e-04       5.911040522338e-01       7.044421408634e-01      -1.182234200880e+00       1.107005243211e-04       5.528665874295e-07      -8.866756506623e-01       1.107007393292e-04      -1.182234200881e+00       1.107005244221e-04       5.517709640227e-07       3.333333333333e-01 
       4.131738716938e-02       9.502008582728e-08      -1.182246297226e+00       1.221089519906e-04       8.740376995305e-13       2.185094248826e-12       8.797849451071e-22       4.370188497653e-13      -8.866847229192e-01       1.221089519906e-04       5.911083036214e-01       7.044392665551e-01      -1.182246297224e+00       1.221088593328e-04       6.726886745248e-07      -8.866847229212e-01       1.221091478975e-04      -1.182246297225e+00       1.221088594831e-04       6.712159895485e-07       3.333333333333e-01 
       4.517748119587e-02       1.038980591289e-07      -1.182258422391e+00       1.335173563937e-04       1.142626548012e-12       2.856566370029e-12       1.375101335694e-21       5.713132740058e-13      -8.866938167936e-01       1.335173563937e-04       5.911125499155e-01       7.044363997206e-01      -1.182258422390e+00       1.335172352626e-04       8.042540815179e-07      -8.866938167965e-01       1.335176124957e-04      -1.182258422390e+00       1.335172354783e-04       8.023269587980e-07       3.333333333333e-01 
       4.903757522235e-02       1.127761490408e-07      -1.182270611608e+00       1.449258080154e-04       1.461274679097e-12       3.653186697744e-12       2.071962563818e-21       7.306373395487e-13      -8.867029587061e-01       1.449258080154e-04       5.911167994353e-01       7.044335315526e-01      -1.182270611606e+00       1.449256531043e-04       9.475627579942e-07      -8.867029587101e-01       1.449261355291e-04      -1.182270611606e+00       1.449256534045e-04       9.450966235752e-07       3.333333333333e-01 
       5.289766924883e-02       1.216543555631e-07      -1.182282876762e+00       1.563343064379e-04       1.834260925825e-12       4.585652314561e-12       3.026439270592e-21       9.171304629123e-13      -8.867121575716e-01       1.563343064379e-04       5.911210523442e-01       7.044306590795e-01      -1.182282876759e+00       1.563341119864e-04       1.102614698663e-06      -8.867121575770e-01       1.563347175382e-04      -1.182282876759e+00       1.563341123936e-04       1.099517780232e-06       3.333333333333e-01 
       5.974618556470e-02       1.374062127845e-07      -1.182304822401e+00       1.765751892264e-04       2.642979077027e-12       6.607447692569e-12       5.563165607535e-21       1.321489538514e-12      -8.867286168004e-01       1.765751892264e-04       5.911285975548e-01       7.044255526590e-01      -1.182304822395e+00       1.765749090426e-04       1.406605120880e-06      -8.867286168093e-01       1.765757815527e-04      -1.182304822395e+00       1.765749097069e-04       1.402140947712e-06       3.333333333333e-01 
       6.659470188057e-02       1.531584370636e-07      -1.182327045281e+00       1.968162112938e-04       3.660107418891e-12       9.150268547228e-12       9.571746920594e-21       1.830053709446e-12      -8.867452839608e-01       1.968162112937e-04       5.911361180662e-01       7.044204231347e-01      -1.182327045272e+00       1.968158232845e-04       1.747560610972e-06      -8.867452839745e-01       1.968170315353e-04      -1.182327045273e+00       1.968158243112e-04       1.741377522914e-06       3.333333333333e-01 
       7.344321819643e-02       1.689110284005e-07      -1.182349538132e+00       2.170573640483e-04       4.909547387046e-12       1.227386846762e-11       1.561611477951e-20       2.454773693523e-12      -8.867621535991e-01       2.170573640483e-04       5.911436048245e-01       7.044152723252e-01      -1.182349538119e+00       2.170568435867e-04       2.125481570453e-06      -8.867621536193e-01       2.170584642444e-04      -1.182349538120e+00       2.170568451067e-04       2.117187804120e-06       3.333333333333e-01 
       8.029173451230e-02       1.846639867951e-07      -1.182372312434e+00       2.372986424140e-04       6.415202873656e-12       1.603800718414e-11       2.438879448370e-20       3.207601436828e-12      -8.867792343254e-01       2.372986424129e-04       5.911510600997e-01       7.044100973607e-01      -1.182372312416e+00       2.372979623393e-04       2.540368204568e-06      -8.867792343543e-01       2.373000799535e-04      -1.182372312417e+00       2.372979645119e-04       2.529531953163e-06       3.333333333333e-01 
       8.714025082817e-02       2.004173122474e-07      -1.182395353765e+00       2.575400360801e-04       8.200979999575e-12       2.050244999894e-11       3.672414927201e-20       4.100489999788e-12      -8.867965153241e-01       2.575400361048e-04       5.911584992799e-01       7.044049018466e-01      -1.182395353740e+00       2.575391666974e-04       2.992220453185e-06      -8.867965153641e-01       2.575418737010e-04      -1.182395353741e+00       2.575391697124e-04       2.978369883288e-06       3.333333333333e-01 
       9.398876714404e-02       2.161710047575e-07      -1.182418677333e+00       2.777815410293e-04       1.029078738538e-11       2.572696846344e-11       5.361163001991e-20       5.145393692688e-12      -8.868140079996e-01       2.777815410898e-04       5.911659264552e-01       7.043996819813e-01      -1.182418677299e+00       2.777804501093e-04       3.481038191311e-06      -8.868140080538e-01       2.777838468184e-04      -1.182418677300e+00       2.777804541906e-04       3.463661509180e-06       3.333333333333e-01 
       1.008372834599e-01       2.319250643253e-07      -1.182442299376e+00       2.980231546490e-04       1.270853607847e-11       3.177134019619e-11       7.620902785443e-20       6.354268039237e-12      -8.868317245320e-01       2.980231547318e-04       5.911733352524e-01       7.043944337051e-01      -1.182442299331e+00       2.980218074280e-04       4.006821496041e-06      -8.868317246038e-01       2.980260020417e-04      -1.182442299332e+00       2.980218128357e-04       3.985367003121e-06       3.333333333333e-01 
       1.076857997758e-01       2.476794909508e-07      -1.182466212071e+00       3.182648686572e-04       1.547813923543e-11       3.869534808859e-11       1.058557286518e-19       7.739069617717e-12      -8.868496590530e-01       3.182648687474e-04       5.911807221999e-01       7.043891589744e-01      -1.182466212012e+00       3.182632278366e-04       4.569570560585e-06      -8.868496591464e-01       3.182683364367e-04      -1.182466212013e+00       3.182632348700e-04       4.543446671864e-06       3.333333333333e-01 
       1.148930289123e-01       2.642595021707e-07      -1.182491674943e+00       3.395669031712e-04       1.879906847924e-11       4.699767119810e-11       1.463568584962e-19       9.399534239621e-12      -8.868687562076e-01       3.395669032668e-04       5.911884743046e-01       7.043835834470e-01      -1.182491674867e+00       3.395649103072e-04       5.201716279581e-06      -8.868687563285e-01       3.395711147894e-04      -1.182491674869e+00       3.395649194207e-04       5.169995744734e-06       3.333333333333e-01 
       1.221002580489e-01       2.808399199069e-07      -1.182517478443e+00       3.608690396733e-04       2.256403956887e-11       5.641009892218e-11       1.984038328056e-19       1.128201978444e-11      -8.868881088326e-01       3.608690397805e-04       5.911961974773e-01       7.043779739390e-01      -1.182517478346e+00       3.608666476953e-04       5.874801684078e-06      -8.868881089869e-01       3.608740945375e-04      -1.182517478348e+00       3.608666593189e-04       5.836738869902e-06       3.333333333333e-01 
       1.293074871854e-01       2.974207441596e-07      -1.182543584204e+00       3.821712585005e-04       2.680093088849e-11       6.700232722122e-11       2.643065431930e-19       1.340046544424e-11      -8.869076881530e-01       3.821712586241e-04       5.912039011214e-01       7.043723400425e-01      -1.182543584081e+00       3.821684173828e-04       6.588826716656e-06      -8.869076883471e-01       3.821772622496e-04      -1.182543584084e+00       3.821684320018e-04       6.543629586825e-06       3.333333333333e-01 
       1.365147163220e-01       3.140019749286e-07      -1.182570028035e+00       4.034735640148e-04       3.153762501480e-11       7.884406253699e-11       3.466644186297e-19       1.576881250740e-11      -8.869275210265e-01       4.034735641549e-04       5.912115774009e-01       7.043666728050e-01      -1.182570027883e+00       4.034702207763e-04       7.343791341034e-06      -8.869275212676e-01       4.034806285191e-04      -1.182570027886e+00       4.034702389348e-04       7.290621677302e-06       3.333333333333e-01 
       1.437219454585e-01       3.305836122140e-07      -1.182596774528e+00       4.247759360667e-04       3.680200544410e-11       9.200501361025e-11       4.483835291048e-19       1.840100272205e-11      -8.869475808960e-01       4.247759362218e-04       5.912192335692e-01       7.043609810792e-01      -1.182596774341e+00       4.247720347708e-04       8.139695521755e-06      -8.869475811922e-01       4.247841794273e-04      -1.182596774344e+00       4.247720570751e-04       8.077668795643e-06       3.333333333333e-01 
       1.509291745951e-01       3.471656560157e-07      -1.182623853241e+00       4.460783779045e-04       4.262196009713e-11       1.065549002428e-10       5.726937621215e-19       2.131098004856e-11      -8.869678899308e-01       4.460783780741e-04       5.912268630613e-01       7.043552574753e-01      -1.182623853014e+00       4.460738596584e-04       8.976539187803e-06      -8.869678902910e-01       4.460879244526e-04      -1.182623853017e+00       4.460738867800e-04       8.904724795332e-06       3.333333333333e-01 
       1.581364037316e-01       3.637481063339e-07      -1.182651259944e+00       4.673808808311e-04       4.902537861735e-11       1.225634465434e-10       7.231659386416e-19       2.451268930867e-11      -8.869884449581e-01       4.673808810168e-04       5.912344668803e-01       7.043495030512e-01      -1.182651259670e+00       4.673756837861e-04       9.854322228092e-06      -8.869884453922e-01       4.673918611280e-04      -1.182651259675e+00       4.673757164653e-04       9.771743455123e-06       3.333333333333e-01 
       1.669939692222e-01       3.841282205089e-07      -1.182685378707e+00       4.935613722495e-04       5.773535937676e-11       1.443383984419e-10       9.497511459543e-19       2.886767968838e-11      -8.870140340305e-01       4.935613724572e-04       5.912437795783e-01       7.043423919619e-01      -1.182685378367e+00       4.935552518995e-04       1.098917720152e-05      -8.870140345703e-01       4.935743026118e-04      -1.182685378372e+00       4.935552925295e-04       1.089196345532e-05       3.333333333333e-01 
       1.758515347128e-01       4.045089486864e-07      -1.182719964972e+00       5.197419181404e-04       6.742051164776e-11       1.685512791194e-10       1.229883104348e-18       3.371025582388e-11      -8.870399737293e-01       5.197419183719e-04       5.912530597640e-01       7.043352412957e-01      -1.182719964554e+00       5.197347711150e-04       1.218586649695e-05      -8.870399743931e-01       5.197570167386e-04      -1.182719964559e+00       5.197348210637e-04       1.207238750230e-05       3.333333333333e-01 
       1.847091002034e-01       4.248902908664e-07      -1.182755050104e+00       5.459225186476e-04       7.813262313711e-11       1.953315578428e-10       1.572539428766e-18       3.906631156855e-11      -8.870662875783e-01       5.459225189035e-04       5.912623006100e-01       7.043280432114e-01      -1.182755049594e+00       5.459142360873e-04       1.344438975189e-05      -8.870662883863e-01       5.459400152131e-04      -1.182755049601e+00       5.459142968708e-04       1.331293011604e-05       3.333333333333e-01 
       1.935666656940e-01       4.452722470488e-07      -1.182790628908e+00       5.721031580574e-04       8.992348539754e-11       2.248087134939e-10       1.987649986818e-18       4.496174269877e-11      -8.870929716810e-01       5.721031583383e-04       5.912715031517e-01       7.043207990081e-01      -1.182790628293e+00       5.720936256134e-04       1.476474655894e-05      -8.870929726555e-01       5.721232938817e-04      -1.182790628301e+00       5.720936989031e-04       1.461350575221e-05       3.333333333333e-01 
       2.024242311846e-01       4.656548172338e-07      -1.182826680527e+00       5.982838117358e-04       1.028448938544e-10       2.571122346360e-10       2.486145023244e-18       5.142244692720e-11      -8.871200103955e-01       5.982838120427e-04       5.912806718979e-01       7.043135138998e-01      -1.182826679792e+00       5.982729095689e-04       1.614693644569e-05      -8.871200115610e-01       5.983068396690e-04      -1.182826679801e+00       5.982729972002e-04       1.597402881741e-05       3.333333333333e-01 
